student_id,department,cgpa,aptitude_score,technical_score,projects_count,internships_count,dsa_problems_solved,backlogs_count,certifications_count,soft_skills_score,placement_score,is_placed,hiring_tier,ctc_lpa
STU-1000,Information Science,6.63,76,63,2,0,55,0,1,65,62.72,1,Tier 3 Enterprise,4.29
STU-1001,Artificial Intelligence & Machine Learning,6.69,100,71,4,1,40,0,3,71,92.03,1,Tier 2 Tech,13.66
STU-1002,Electronics & Communication,7.35,46,70,0,0,57,0,4,69,52.05,0,Unplaced,0.0
STU-1003,Electronics & Communication,8.0,71,61,0,1,93,0,0,58,60.58,1,Tier 3 Enterprise,7.38
STU-1004,Computer Science,8.6,80,81,2,1,61,0,4,45,96.99,1,Tier 2 Tech,17.88
STU-1005,Computer Science,6.72,73,76,1,1,33,0,1,62,74.82,1,Tier 2 Tech,14.99
STU-1006,Computer Science,9.24,70,85,1,2,157,0,4,95,101.76,1,Tier 2 Tech,11.8
STU-1007,Civil Engineering,7.3,53,78,1,0,83,2,2,70,31.5,0,Unplaced,0.0
STU-1008,Electronics & Communication,7.58,75,62,2,0,7,0,5,83,68.86,1,Tier 2 Tech,12.12
STU-1009,Electronics & Communication,6.78,61,65,1,0,50,0,2,48,59.64,1,Tier 3 Enterprise,5.41
STU-1010,Computer Science,5.0,41,45,3,0,237,0,0,61,57.58,1,Tier 3 Enterprise,6.41
STU-1011,Artificial Intelligence & Machine Learning,8.57,88,88,2,2,154,4,2,57,39.46,0,Unplaced,0.0
STU-1012,Mechanical Engineering,8.41,85,79,2,1,42,1,3,71,64.69,1,Tier 3 Enterprise,6.96
STU-1013,Computer Science,7.29,72,77,1,1,306,1,2,100,71.51,1,Tier 2 Tech,16.19
STU-1014,Computer Science,7.67,75,84,0,1,8,0,1,79,69.46,1,Tier 2 Tech,12.17
STU-1015,Computer Science,8.17,87,84,2,0,357,0,1,94,84.58,1,Tier 1 Product,35.2
STU-1016,Computer Science,5.88,75,61,4,1,31,0,3,70,79.67,1,Tier 2 Tech,17.16
STU-1017,Information Science,7.02,84,58,4,1,1,0,2,90,81.98,1,Tier 2 Tech,17.21
STU-1018,Information Science,8.47,67,79,5,1,62,0,3,98,93.78,1,Tier 2 Tech,15.04
STU-1019,Computer Science,6.22,90,56,1,0,48,2,5,72,36.09,0,Unplaced,0.0
STU-1020,Electronics & Communication,7.92,76,71,3,1,85,0,1,67,77.11,1,Tier 2 Tech,14.37
STU-1021,Computer Science,6.11,74,57,2,0,175,0,1,58,68.56,1,Tier 2 Tech,13.32
STU-1022,Computer Science,8.11,54,67,1,1,203,1,3,70,59.59,1,Tier 3 Enterprise,4.73
STU-1023,Information Science,7.56,76,52,1,1,56,0,2,74,69.96,1,Tier 2 Tech,9.24
STU-1024,Information Science,5.82,60,51,2,0,61,0,2,98,60.27,1,Tier 3 Enterprise,5.94
STU-1025,Mechanical Engineering,8.88,63,84,1,1,17,0,2,58,72.92,1,Tier 2 Tech,9.59
STU-1026,Computer Science,6.79,60,52,1,2,5,0,1,74,75.44,1,Tier 2 Tech,13.77
STU-1027,Information Science,6.71,57,65,2,0,112,1,5,52,46.54,0,Unplaced,0.0
STU-1028,Electronics & Communication,7.82,100,93,1,2,7,0,0,68,89.7,1,Tier 2 Tech,14.46
STU-1029,Computer Science,8.86,90,93,4,1,145,1,2,77,93.25,1,Tier 2 Tech,13.26
STU-1030,Electronics & Communication,6.48,98,80,1,1,85,1,2,80,69.05,1,Tier 2 Tech,8.36
STU-1031,Computer Science,7.67,54,77,1,2,24,1,1,81,72.43,1,Tier 2 Tech,8.58
STU-1032,Computer Science,8.07,72,88,3,1,85,0,0,78,89.56,1,Tier 2 Tech,9.13
STU-1033,Artificial Intelligence & Machine Learning,8.36,53,71,3,2,22,0,0,80,84.7,1,Tier 2 Tech,9.54
STU-1034,Artificial Intelligence & Machine Learning,7.79,62,67,1,0,63,0,1,74,60.85,1,Tier 3 Enterprise,7.96
STU-1035,Mechanical Engineering,7.2,59,42,2,0,176,0,1,61,56.65,1,Tier 3 Enterprise,5.38
STU-1036,Computer Science,6.69,89,77,3,1,68,2,3,51,55.1,1,Tier 3 Enterprise,5.17
STU-1037,Computer Science,7.69,66,88,2,2,17,0,2,67,78.62,1,Tier 2 Tech,8.52
STU-1038,Electronics & Communication,6.42,86,57,3,2,141,1,2,72,71.3,1,Tier 2 Tech,14.35
